Training Epoch 1--- iterations: 0--- 训练集精度:  32.1%, 测试集精度:  46.4%,  测试集损失值: 1.088
Training Epoch 22--- iterations: 882--- 训练集精度:  75.0%, 测试集精度:  89.3%,  测试集损失值: 0.350
Training Epoch 23--- iterations: 924--- 训练集精度:  75.0%, 测试集精度:  92.9%,  测试集损失值: 0.420
Training Epoch 24--- iterations: 966--- 训练集精度:  64.3%, 测试集精度:  78.6%,  测试集损失值: 0.334
Training Epoch 25--- iterations: 1008--- 训练集精度:  78.6%, 测试集精度:  75.0%,  测试集损失值: 0.772
Training Epoch 26--- iterations: 1050--- 训练集精度:  75.0%, 测试集精度:  78.6%,  测试集损失值: 0.368
Training Epoch 27--- iterations: 1092--- 训练集精度:  78.6%, 测试集精度:  92.9%,  测试集损失值: 0.266
Training Epoch 28--- iterations: 1134--- 训练集精度:  75.0%, 测试集精度:  82.1%,  测试集损失值: 0.446
Training Epoch 29--- iterations: 1176--- 训练集精度:  85.7%, 测试集精度:  71.4%,  测试集损失值: 0.396
Training Epoch 30--- iterations: 1218--- 训练集精度:  75.0%, 测试集精度:  71.4%,  测试集损失值: 0.917
Training Epoch 31--- iterations: 1260--- 训练集精度:  75.0%, 测试集精度:  78.6%,  测试集损失值: 0.379
Training Epoch 32--- iterations: 1302--- 训练集精度:  71.4%, 测试集精度:  82.1%,  测试集损失值: 0.370
Training Epoch 33--- iterations: 1344--- 训练集精度:  78.6%, 测试集精度:  92.9%,  测试集损失值: 0.207
Training Epoch 34--- iterations: 1386--- 训练集精度:  71.4%, 测试集精度:  75.0%,  测试集损失值: 0.429
Training Epoch 35--- iterations: 1428--- 训练集精度:  78.6%, 测试集精度:  67.9%,  测试集损失值: 0.844
Training Epoch 36--- iterations: 1470--- 训练集精度:  75.0%, 测试集精度:  89.3%,  测试集损失值: 0.223
Training Epoch 37--- iterations: 1512--- 训练集精度:  85.7%, 测试集精度:  82.1%,  测试集损失值: 0.378
Training Epoch 38--- iterations: 1554--- 训练集精度:  78.6%, 测试集精度:  85.7%,  测试集损失值: 0.279
Training Epoch 39--- iterations: 1596--- 训练集精度:  71.4%, 测试集精度:  71.4%,  测试集损失值: 0.481
Training Epoch 40--- iterations: 1638--- 训练集精度:  71.4%, 测试集精度:  71.4%,  测试集损失值: 0.544
Training Epoch 41--- iterations: 1680--- 训练集精度:  75.0%, 测试集精度:  82.1%,  测试集损失值: 0.388
Training Epoch 42--- iterations: 1722--- 训练集精度:  82.1%, 测试集精度:  67.9%,  测试集损失值: 0.306
Training Epoch 43--- iterations: 1764--- 训练集精度:  85.7%, 测试集精度:  89.3%,  测试集损失值: 0.186
Training Epoch 44--- iterations: 1806--- 训练集精度:  89.3%, 测试集精度:  82.1%,  测试集损失值: 0.473
Training Epoch 45--- iterations: 1848--- 训练集精度:  92.9%, 测试集精度:  71.4%,  测试集损失值: 0.702
Training Epoch 46--- iterations: 1890--- 训练集精度:  89.3%, 测试集精度:  92.9%,  测试集损失值: 0.412
Training Epoch 47--- iterations: 1932--- 训练集精度:  82.1%, 测试集精度:  82.1%,  测试集损失值: 0.218
Training Epoch 48--- iterations: 1974--- 训练集精度:  85.7%, 测试集精度:  92.9%,  测试集损失值: 0.230
Training Epoch 49--- iterations: 2016--- 训练集精度:  89.3%, 测试集精度:  75.0%,  测试集损失值: 0.469
Training Epoch 50--- iterations: 2058--- 训练集精度:  82.1%, 测试集精度:  75.0%,  测试集损失值: 0.839
Training Epoch 51--- iterations: 2100--- 训练集精度:  82.1%, 测试集精度:  92.9%,  测试集损失值: 0.421
Training Epoch 52--- iterations: 2142--- 训练集精度:  85.7%, 测试集精度:  85.7%,  测试集损失值: 0.200
Training Epoch 53--- iterations: 2184--- 训练集精度:  92.9%, 测试集精度:  85.7%,  测试集损失值: 0.202
Training Epoch 54--- iterations: 2226--- 训练集精度:  89.3%, 测试集精度:  71.4%,  测试集损失值: 0.610
Training Epoch 55--- iterations: 2268--- 训练集精度:  96.4%, 测试集精度:  75.0%,  测试集损失值: 0.973
Training Epoch 56--- iterations: 2310--- 训练集精度: 100.0%, 测试集精度:  85.7%,  测试集损失值: 0.311
Training Epoch 57--- iterations: 2352--- 训练集精度:  85.7%, 测试集精度:  67.9%,  测试集损失值: 0.323
Training Epoch 58--- iterations: 2394--- 训练集精度:  89.3%, 测试集精度:  89.3%,  测试集损失值: 0.186
Training Epoch 59--- iterations: 2436--- 训练集精度:  92.9%, 测试集精度:  71.4%,  测试集损失值: 0.591
Training Epoch 60--- iterations: 2478--- 训练集精度:  89.3%, 测试集精度:  67.9%,  测试集损失值: 0.911
Training Epoch 61--- iterations: 2520--- 训练集精度:  96.4%, 测试集精度:  89.3%,  测试集损失值: 0.172
Training Epoch 62--- iterations: 2562--- 训练集精度:  92.9%, 测试集精度:  92.9%,  测试集损失值: 0.333
Training Epoch 63--- iterations: 2604--- 训练集精度:  92.9%, 测试集精度:  89.3%,  测试集损失值: 0.295
Training Epoch 64--- iterations: 2646--- 训练集精度:  85.7%, 测试集精度:  85.7%,  测试集损失值: 0.581
Training Epoch 65--- iterations: 2688--- 训练集精度:  92.9%, 测试集精度:  78.6%,  测试集损失值: 1.058
Training Epoch 66--- iterations: 2730--- 训练集精度:  92.9%, 测试集精度:  89.3%,  测试集损失值: 0.306
Training Epoch 67--- iterations: 2772--- 训练集精度:  75.0%, 测试集精度:  82.1%,  测试集损失值: 0.387
Training Epoch 68--- iterations: 2814--- 训练集精度:  82.1%, 测试集精度:  92.9%,  测试集损失值: 0.203
Training Epoch 69--- iterations: 2856--- 训练集精度:  85.7%, 测试集精度:  71.4%,  测试集损失值: 0.538
Training Epoch 70--- iterations: 2898--- 训练集精度:  92.9%, 测试集精度:  60.7%,  测试集损失值: 0.865
Training Epoch 71--- iterations: 2940--- 训练集精度:  96.4%, 测试集精度:  92.9%,  测试集损失值: 0.250
Training Epoch 72--- iterations: 2982--- 训练集精度: 100.0%, 测试集精度:  75.0%,  测试集损失值: 0.193
Training Epoch 73--- iterations: 3024--- 训练集精度:  85.7%, 测试集精度:  89.3%,  测试集损失值: 0.104
Training Epoch 74--- iterations: 3066--- 训练集精度:  92.9%, 测试集精度:  75.0%,  测试集损失值: 0.758
Training Epoch 75--- iterations: 3108--- 训练集精度:  85.7%, 测试集精度:  78.6%,  测试集损失值: 1.322
Training Epoch 76--- iterations: 3150--- 训练集精度:  85.7%, 测试集精度:  96.4%,  测试集损失值: 0.132
Training Epoch 77--- iterations: 3192--- 训练集精度:  96.4%, 测试集精度:  85.7%,  测试集损失值: 0.213
Training Epoch 78--- iterations: 3234--- 训练集精度:  89.3%, 测试集精度:  92.9%,  测试集损失值: 0.191
Training Epoch 79--- iterations: 3276--- 训练集精度:  85.7%, 测试集精度:  75.0%,  测试集损失值: 0.672
Training Epoch 80--- iterations: 3318--- 训练集精度:  85.7%, 测试集精度:  67.9%,  测试集损失值: 1.191
Training Epoch 81--- iterations: 3360--- 训练集精度:  89.3%, 测试集精度:  96.4%,  测试集损失值: 0.211
Training Epoch 82--- iterations: 3402--- 训练集精度:  89.3%, 测试集精度:  75.0%,  测试集损失值: 0.230
Training Epoch 83--- iterations: 3444--- 训练集精度: 100.0%, 测试集精度:  89.3%,  测试集损失值: 0.106
Training Epoch 84--- iterations: 3486--- 训练集精度:  92.9%, 测试集精度:  78.6%,  测试集损失值: 0.322
Training Epoch 85--- iterations: 3528--- 训练集精度:  92.9%, 测试集精度:  75.0%,  测试集损失值: 0.966
Training Epoch 86--- iterations: 3570--- 训练集精度:  82.1%, 测试集精度:  92.9%,  测试集损失值: 0.219
Training Epoch 87--- iterations: 3612--- 训练集精度:  85.7%, 测试集精度:  82.1%,  测试集损失值: 0.188
Training Epoch 88--- iterations: 3654--- 训练集精度:  92.9%, 测试集精度: 100.0%,  测试集损失值: 0.086
Training Epoch 89--- iterations: 3696--- 训练集精度:  96.4%, 测试集精度:  82.1%,  测试集损失值: 0.649
Training Epoch 90--- iterations: 3738--- 训练集精度:  89.3%, 测试集精度:  71.4%,  测试集损失值: 0.985
Training Epoch 91--- iterations: 3780--- 训练集精度:  85.7%, 测试集精度:  96.4%,  测试集损失值: 0.163
Training Epoch 92--- iterations: 3822--- 训练集精度:  92.9%, 测试集精度:  85.7%,  测试集损失值: 0.219
Training Epoch 93--- iterations: 3864--- 训练集精度:  85.7%, 测试集精度: 100.0%,  测试集损失值: 0.152
Training Epoch 94--- iterations: 3906--- 训练集精度:  96.4%, 测试集精度:  78.6%,  测试集损失值: 0.845
Training Epoch 95--- iterations: 3948--- 训练集精度:  89.3%, 测试集精度:  71.4%,  测试集损失值: 1.180
Training Epoch 96--- iterations: 3990--- 训练集精度:  92.9%, 测试集精度:  82.1%,  测试集损失值: 0.274
Training Epoch 97--- iterations: 4032--- 训练集精度:  82.1%, 测试集精度:  82.1%,  测试集损失值: 0.464
Training Epoch 98--- iterations: 4074--- 训练集精度:  96.4%, 测试集精度:  85.7%,  测试集损失值: 0.103
Training Epoch 99--- iterations: 4116--- 训练集精度:  92.9%, 测试集精度:  75.0%,  测试集损失值: 0.537
Training Epoch 100--- iterations: 4158--- 训练集精度:  89.3%, 测试集精度:  75.0%,  测试集损失值: 1.186
Training Epoch 101--- iterations: 4200--- 训练集精度:  92.9%, 测试集精度:  89.3%,  测试集损失值: 0.197
Training Epoch 102--- iterations: 4242--- 训练集精度:  96.4%, 测试集精度:  78.6%,  测试集损失值: 0.279
Training Epoch 103--- iterations: 4284--- 训练集精度:  92.9%, 测试集精度:  96.4%,  测试集损失值: 0.058
Training Epoch 104--- iterations: 4326--- 训练集精度:  85.7%, 测试集精度:  82.1%,  测试集损失值: 0.761
Training Epoch 105--- iterations: 4368--- 训练集精度:  96.4%, 测试集精度:  71.4%,  测试集损失值: 1.527
Training Epoch 106--- iterations: 4410--- 训练集精度: 100.0%, 测试集精度:  92.9%,  测试集损失值: 0.389
Training Epoch 107--- iterations: 4452--- 训练集精度:  85.7%, 测试集精度:  78.6%,  测试集损失值: 0.234
Training Epoch 108--- iterations: 4494--- 训练集精度:  92.9%, 测试集精度:  96.4%,  测试集损失值: 0.104
Training Epoch 109--- iterations: 4536--- 训练集精度:  92.9%, 测试集精度:  82.1%,  测试集损失值: 0.905
Training Epoch 110--- iterations: 4578--- 训练集精度:  92.9%, 测试集精度:  75.0%,  测试集损失值: 0.878
Training Epoch 111--- iterations: 4620--- 训练集精度:  92.9%, 测试集精度:  89.3%,  测试集损失值: 0.157
Training Epoch 112--- iterations: 4662--- 训练集精度:  92.9%, 测试集精度:  92.9%,  测试集损失值: 0.204
Training Epoch 113--- iterations: 4704--- 训练集精度: 100.0%, 测试集精度:  96.4%,  测试集损失值: 0.136
Training Epoch 114--- iterations: 4746--- 训练集精度:  89.3%, 测试集精度:  75.0%,  测试集损失值: 0.850
Training Epoch 115--- iterations: 4788--- 训练集精度:  96.4%, 测试集精度:  75.0%,  测试集损失值: 1.479
Training Epoch 116--- iterations: 4830--- 训练集精度:  92.9%, 测试集精度:  89.3%,  测试集损失值: 0.404
Training Epoch 117--- iterations: 4872--- 训练集精度:  85.7%, 测试集精度:  92.9%,  测试集损失值: 0.206
Training Epoch 118--- iterations: 4914--- 训练集精度:  92.9%, 测试集精度:  89.3%,  测试集损失值: 0.090
Training Epoch 119--- iterations: 4956--- 训练集精度:  89.3%, 测试集精度:  89.3%,  测试集损失值: 0.685
Training Epoch 120--- iterations: 4998--- 训练集精度:  89.3%, 测试集精度:  75.0%,  测试集损失值: 1.562
